--- TABLES FROM PAGE 91 (None) ---
Sr. No.,Particulars,Formula

"Sr.
No.",Particulars,"As at
31st March, 2025","As at
31st March, 2024"
,,689,
,,"1,600",
,,"1,900",
,,"3,500",
,,250,
,,85,
,,85,
,,85,
,,85,
,,85,
,,85,
,,133,
,,133,
,,133,

"Sr.
No.",Particulars,2024-25,2023-24,% Changes
,,1.05,,
,,0.37,,
,,2.06,,
,,7.3%,,
,,6.85,,
,,36.74,,
,,3.61,,
,,47.92,,
,,6.3%,,
,,14.6%,,
,,10.3%,,

